Title,Genre,Director,Actors
3,"drama, mystery, romance",aishwarya dhanush,"dhanush, shruti haasan, prabhu, bhanupriya"
10,"action, thriller",vijay milton,"vikram, samantha ruth prabhu, pasupathy, rahul dev"
24,"action, sci-fi, thriller",vikram k. kumar,"suriya, samantha ruth prabhu, nithya menon, saranya ponvannan"
96,"drama, romance",c. prem kumar,"vijay sethupathi, trisha krishnan, varsha bollamma, adithya bhaskar"
180,"drama, romance",jayendra,"siddharth, nithya menon, priya anand, tanikella bharani"
13b: fear has a new address,"drama, horror, mystery",vikram k. kumar,"madhavan, neetu chandra, poonam dhillon, saranya ponvannan"
7 aum arivu,"action, sci-fi, thriller",a.r. murugadoss,"suriya, shruti haasan, johnny nguyen, abhinaya"
7/g rainbow colony,"drama, romance",k. selvaraghavan,"sonia agarwal, chandramohan, ravi krishna, aachi manorama"
8 thottakkal,"action, crime, thriller",sri ganesh,"vetri, aparna balamurali, nassar, m.s. bhaskar"
aadama jaichomada,comedy,badri,"karunakaran, vijayalakshmi agathiyan, bobby simha, balaji"
aadhavan,"action, comedy",k.s. ravikumar,"suriya, nayanthara, vadivelu, saroja devi b."
aadukalam,"action, drama, sport",vetrimaaran,"dhanush, taapsee pannu, jayabalan, kishore kumar g."
aahaa,drama,suresh krishna,"karuna bhushan, bhanupriya, delhi ganesh, rajiv krishna"
aakali rajyam,drama,k. balachander,"kamal haasan, sridevi, ramana murthi j.v., prathap pothen"
aalavandhan,"action, thriller",suresh krishna,"kamal haasan, raveena tandon, manisha koirala, kitu gidwani"
aalwar,action,chella,"ajith kumar, asin thottumkal, vivek, aachi manorama"
aambala,"action, comedy",sundar c.,"vishal, hansika motwani, prabhu, vaibhav reddy"
aan paavam,comedy,r. pandiaraajan,"janakaraj, r. pandiaraajan, pandiyan, v.k. ramasamy"
aandavan kattalai,drama,m. manikandan,"vijay sethupathi, ritika singh, pooja devariya, nassar"
aaranya kaandam,"action, crime, thriller",thiagarajan kumararaja,"sampath raj, jackie shroff, ravi krishna, yasmin ponnappa"
aarilirindhu aruvathu varai,"biography, drama",s.p. muthuraman,"jayalakshmi, suruli rajan, rajinikanth, cho ramaswamy"
aaru,"action, thriller",hari,"suriya, trisha krishnan, vadivelu, ashish vidyarthi"
aasai,"drama, romance, thriller",vasanth,"ajith kumar, suvalakshmi, prakash raj, rohini"
aathi,"action, drama",ramana,"joseph vijay, trisha krishnan, vivek, sai kumar"
abhiyum naanum,"comedy, drama, family",radha mohan,"prakash raj, trisha krishnan, aishwarya, ganesh venkatraman"
achamindri,thriller,rajapandi,"devadarshini chetan, srushti dange, karunas, saranya ponvannan"
achcham yenbadhu madamaiyada,"action, romance, thriller",gautham vasudev menon,"t.r. silambarasan, manjima mohan, baba sehgal, daniel balaji"
adhe kangal,"action, thriller",rohin venkatesan,"r. aravindraj, abishek joseph george, janani iyer, kalaiyarasan"
adimai penn,drama,k. shankar,"s.a. ashokan, j.p. chandrababu, o.a.k. devar, jayalalitha j"
adisaya piravi,"action, comedy, fantasy",s.p. muthuraman,"rajinikanth, chinnijayanth, jai ganesh, bharat gopy"
aegan,action,raju sundaram,"ajith kumar, nayanthara, navdeep, piaa bajpai"
agni natchathiram,"action, crime, drama",mani ratnam,"karthik, prabhu, vijayakumar, amala akkineni"
alai payuthey,"drama, musical, romance",mani ratnam,"madhavan, shalini, swarnamalya, v. natarajan"
alaigal ooivathilai,"drama, romance",bharathiraja,"karthik, radha, silk smitha, goundamani"
amaidhi padai,"action, crime, drama",manivannan,"kasturi, manivannan, ranjitha, sathyaraj"
amarkalam,"action, drama, romance",saran,"ajith kumar, shalini, raghuvaran, nassar"
ammani,"drama, family",lakshmi ramakrishnan,"semmalar annam, manas bhaskaran, sri mahesh, manas"
anbe sivam,"adventure, comedy, drama",sundar c.,"kamal haasan, madhavan, kiran rathod, nassar"
anbe vaa,"comedy, romance",a.c. trilogchander,"m.g. ramachandran, saroja devi b., nagesh, aachi manorama"
anegan,"action, romance, thriller",k.v. anand,"dhanush, karthik, amyra dastur, aishwarya devan"
angadi theru,drama,vasanthabalan,"mahesh, anjali, a. venkatesh, pandi"
anjali,"family, drama",mani ratnam,"revathi, raghuvaran, prabhu, saranya ponvannan"
anjaneya,"action, crime, drama",n. maharajan,"ajith kumar, meera jasmine, raghuvaran, adithya menon"
anjathe,"action, drama, thriller",myshkin,"narain, prasanna, ajmal ameer, vijayalakshmi"
annai oru aalayam,"adventure, drama",r. thyagaraajan,"rajinikanth, sripriya, anjali devi, nagesh"
annamalai,"action, drama",suresh krishna,"rajinikanth, sarath babu, kushboo, radha ravi"
anniyan,"action, drama, thriller",s. shankar,"vikram, sada, prakash raj, vivek"
apoorva raagangal,"drama, romance",k. balachander,"kamal haasan, srividya, jayasudha, nagesh"
apoorva sagodharargal,"action, comedy, drama",singeetam srinivasa rao,"kamal haasan, nagesh, srividya, gautami"
aramm,drama,gopi nainar,"nayanthara, ramachandran durairaj, sunu lakshmi, kitty"
arangetra velai,"comedy, thriller",fazil,"anju, delhi ganesh, jai ganesh, janakaraj"
arasu dharbar,drama,joone,"sarath kumar, simran, delhi ganesh"
aravaan,"action, adventure, drama",vasanthabalan,"aadhi, pasupathy, dhansika, archana kavi"
arrambam,"action, drama, mystery",vishnuvardhan,"ajith kumar, arya, nayanthara, taapsee pannu"
arul,action,hari,"vikram, jyotika, pasupathy, vadivelu"
arunachalam,"action, comedy, drama",sundar c.,"rajinikanth, soundarya, rambha, jaishankar"
aruvi,drama,arun prabhu purushothaman,"aditi balan, padmashri mohammad ali, pradeep anthony, arnold"
asal,action,saran,"ajith kumar, sameera reddy, bhavana, prabhu"
asuran,"action, drama",vetrimaaran,"dhanush, manju warrier, prakash raj, pasupathy"
athu oru kanaa kaalam,romance,balu mahendra,"amarasigamani, dhanush, priyamani"
attagasam,"action, drama",saran,"ajith kumar, pooja umashankar, sujatha, mahadevan"
attakathi,"comedy, romance",pa. ranjith,"dinesh, nandita shwetha, aishwarya rajesh, shalini"
autograph,romance,cheran,"cheran, sneha, gopika, kaniha"
