Title,Genre,Director,Actors
kannukkul nilavu,"drama, mystery, romance",fazil,"joseph vijay, shalini, kaveri, raghuvaran"
kushi,"comedy, drama, romance",s.j. suryah,"jyotika, joseph vijay, mumtaj, shilpa shetty kundra"
priyamanavale,"drama, romance",k. selvabharathi,"joseph vijay, radhika chaudhari, s.p. balasubrahmanyam, bhuvaneswari"
friends,"drama, comedy, romance",siddique,"joseph vijay, suriya, ramesh khanna, devayani"
badri,"action, sport",p.a. arun prasad,"joseph vijay, bhoomika chawla, monal, vivek"
shahjahan,"action, romance",k.s. ravi,"joseph vijay, balaji, banu balasubramaniam, chaplin balu"
thamizhan,"action, drama",a. majid,"joseph vijay, priyanka chopra, nassar, revathi"
youth,"drama, romance",vincent selva,"joseph vijay, fathima babu, madhan bob, bosskey"
bagavathi,"action, drama",a. venkatesh,"joseph vijay, reema sen, vadivelu, ashish vidyarthi"
vaseegara,"comedy, drama, romance",k. selvabharathi,"joseph vijay, sneha, vadivelu, gayatri jayaraman"
pudhiya geethai,"action, drama",jagan,"joseph vijay, meera jasmine, ameesha patel, kalabhavan mani"
thirumalai,"action, romance",ramana,"joseph vijay, jyotika, avinash, manoj k. jayan"
udhaya,"action, drama, thriller",azhagam perumal,"joseph vijay, simran, pyramid natarajan, sophiya haque"
ghilli,"action, romance",dharani,"joseph vijay, trisha krishnan, prakash raj, ashish vidyarthi"
madurey,action,r. madhesh,"joseph vijay, sonia agarwal, rakshitha, vadivelu"
thirupaachi,"action, drama",perarasu,"joseph vijay, trisha krishnan, srinivasa rao kota, manoj k. jayan"
sachein,"comedy, drama, romance",john mahendran,"joseph vijay, genelia d'souza, bipasha basu, vadivelu"
sukran,"action, drama",s.a. chandrashekhar,"rajan p. dev, ravi krishna, nalini, anita hassanandani reddy"
sivakaasi,"action, drama",perarasu,"joseph vijay, asin thottumkal, prakash raj, geetha"
aathi,"action, drama",ramana,"joseph vijay, trisha krishnan, vivek, sai kumar"
pokkiri,"action, thriller",prabhu deva,"joseph vijay, asin thottumkal, prakash raj, vadivelu"
azhagiya tamilmagan,"action, drama, thriller",bharathan,"joseph vijay, shriya saran, namitha, sayaji shinde"
kuruvi,"action, comedy, drama",dharani,"joseph vijay, trisha krishnan, suman, vivek"
villu,"action, thriller",prabhu deva,"joseph vijay, nayanthara, prakash raj, vadivelu"
vettaikaaran,"action, drama",babu sivan,"joseph vijay, anushka shetty, salim ghouse, p. ravi shankar"
sura,action,s.p. rajkumar,"joseph vijay, tamannaah bhatia, vadivelu, dev gill"
kaavalan,"action, drama, romance",siddique,"joseph vijay, asin thottumkal, raj kiran, vadivelu"
velayudham,action,mohan raja,"joseph vijay, genelia d'souza, hansika motwani, saranya mohan"
nanban,"comedy, drama",s. shankar,"joseph vijay, jiiva, srikanth, ileana d'cruz"
thuppakki,"action, thriller",a.r. murugadoss,"joseph vijay, kajal aggarwal, vidyut jammwal, sathyan"
thalaivaa,"action, drama, thriller",a.l. vijay,"joseph vijay, amala paul, santhanam, sathyaraj"
jilla,"action, drama",r.t. neason,"mohanlal, joseph vijay, kajal aggarwal, sampath raj"
kaththi,"action, drama",a.r. murugadoss,"joseph vijay, samantha ruth prabhu, neil nitin mukesh, tota roy chowdhury"
puli,"action, adventure, fantasy",chimbudeven,"joseph vijay, sridevi, sudeep, prabhu"
theri,"action, drama",atlee kumar,"joseph vijay, samantha ruth prabhu, amy jackson, baby nainika"
bairavaa,"action, thriller",bharathan,"joseph vijay, keerthy suresh, jagapathi babu, daniel balaji"
mersal,"action, thriller",atlee kumar,"joseph vijay, s.j. suryah, kajal aggarwal, samantha ruth prabhu"
sarkar,"action, drama",a.r. murugadoss,"joseph vijay, keerthy suresh, varalaxmi sarathkumar, pala karuppaiah"
bigil,"action, drama, sport",atlee kumar,"joseph vijay, nayanthara, jackie shroff, vivek"
mugavari,"drama, romance",v.z. dhorai,"suchindra bali, jyotika, ajith kumar, manivannan"
kandukondain kandukondain,"drama, romance",rajiv menon,"ajith kumar, tabu, mammootty, aishwarya rai bachchan"
unnai kodu ennai tharuven,romance,kavee kalidas,"ajith kumar, simran, charlie, chinnijayanth"
dheena,action,a.r. murugadoss,"ajith kumar, suresh gopi, laila, mahanadhi shankar"
citizen,"action, drama, mystery",saravana subaiya,"vasundhara das, devan, cochin hanifa, ajith kumar"
poovellam un vaasam,drama,ezhil,"ajith kumar, jyotika, nagesh, sivakumar"
red,"action, drama",singampuli,"ajith kumar, priya gill, joy badlani, rajan p. dev"
raja,romance,ezhil,"ajith kumar, jyotika, priyanka upendra, vadivelu"
villain,"action, drama, thriller",k.s. ravikumar,"ajith kumar, neha dhupia, meena, tulip joshi"
ennai thalatta varuvala,"action, romance",k.s. raveendran,"jai ganesh, ajith kumar, raghuvaran, reshma"
anjaneya,"action, crime, drama",n. maharajan,"ajith kumar, meera jasmine, raghuvaran, adithya menon"
jana,"action, drama",shaji kailas,"ajith kumar, sneha, delhi ganesh, manoj k. jayan"
attagasam,"action, drama",saran,"ajith kumar, pooja umashankar, sujatha, mahadevan"
ji,"action, drama",n. linguswamy,"ajith kumar, trisha krishnan, charan raj, venkat prabhu"
paramasivan,"action, thriller",p. vasu,"ajith kumar, laila, jayaram, prakash raj"
tirupathi,"action, drama",perarasu,"ajith kumar, sada, riyaz khan, arun pandyan"
varalaaru,"action, drama",k.s. ravikumar,"ajith kumar, asin thottumkal, kaniha, vijayan"
aalwar,action,chella,"ajith kumar, asin thottumkal, vivek, aachi manorama"
